🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight investor positive_rate=0.834 (sample=500)
♻️ Warm-start loaded from: outputs/final_mega.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=investor
[Step 089] user:investor loss: 3.200 grad: 9.438 pred: 2.970 reward: 10.00 eps:0.18 explore regret:    - hn:0.812 hc:0.95 | source_institutional_investor | Analytical Deep Dive | Exposure of Wall Street’s ‘Dirty Little Secret
[Step 090] user:investor loss: 8.444 grad:17.273 pred: 2.971 reward: -4.50 eps:0.18 exploit regret:14.50 hn:0.812 hc:0.95 | wired.com | Angry Rant | Salesforce Workers Circulate Open Letter Urgin
[Step 091] user:investor loss: 4.558 grad:14.563 pred: 3.036 reward: 10.00 eps:0.18 explore regret:    - hn:0.817 hc:0.95 | source_the_new_york_times | Analytical Deep Dive | Our Favorite Shower Curtains - The New York Ti
[Step 092] user:investor loss: 1.168 grad: 4.089 pred: 2.988 reward:  7.79 eps:0.18 explore regret:    - hn:0.814 hc:0.95 | source_the_guardian | Analytical Deep Dive | OpenAI launch of video app Sora plagued by vio
[Step 093] user:investor loss: 1.009 grad: 3.792 pred: 3.038 reward:  7.86 eps:0.18 exploit regret:    - hn:0.818 hc:0.95 | source_mashable | Analytical Deep Dive | Samsung ChatGPT leak: Samsung workers accident
[Step 094] user:investor loss: 4.428 grad:14.065 pred: 3.048 reward: 10.00 eps:0.18 exploit regret:    - hn:0.818 hc:0.95 | source_pcmag | Analytical Deep Dive | Samsung Software Engineers Busted for Pasting 
[Step 095] user:investor loss: 3.979 grad:12.720 pred: 3.059 reward:  7.05 eps:0.18 exploit regret:    - hn:0.819 hc:0.96 | source_national_geographic | Analytical Deep Dive | Where should archaeologists dig next? The winn
[Step 096] user:investor loss: 0.939 grad: 3.463 pred: 3.066 reward:  7.87 eps:0.18 exploit regret:    - hn:0.820 hc:0.96 | source_times_of_india | Analytical Deep Dive | OpenAI’s Sora app now available for Android us
[Step 097] user:investor loss: 3.536 grad:12.058 pred: 3.058 reward: 10.00 eps:0.18 exploit regret:    - hn:0.819 hc:0.96 | source_bruegel | Analytical Deep Dive | Europe’s dependence on US foreign military sal
[Step 098] user:investor loss: 3.303 grad: 9.508 pred: 2.998 reward: 10.00 eps:0.18 exploit regret:    - hn:0.814 hc:0.95 | source_asia_business_outlook | Analytical Deep Dive | OpenAI Expands Sora AI Video App to Asia Marke
[Step 099] user:investor loss: 1.477 grad: 5.337 pred: 2.918 reward:  7.66 eps:0.18 explore regret:    - hn:0.808 hc:0.95 | source_daily_mail | Analytical Deep Dive | Products that really aren't worth the hype as 
[Step 100] user:investor loss: 1.094 grad: 4.398 pred: 3.027 reward:  7.94 eps:0.17 explore regret: 2.06 hn:0.817 hc:0.95 | source_international_idea | Analytical Deep Dive | TED Webinar Safeguarding Democracy and Electio
  └─ checkpoint step=100 rolling_reward_50=6.78 mean_regret_so_far=4.54
[Step 101] user:investor loss: 0.833 grad: 3.074 pred: 3.121 reward:  7.33 eps:0.17 exploit regret:    - hn:0.824 hc:0.96 | source_frontiers | Analytical Deep Dive | AI-supported approach for human-building inter
